stem,date,video_path,tile_time_s,label,era,split,source_batch
CAMHDA301-20190121T061500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T061500.mp4,600,0,clear,train,2019_2020
CAMHDA301-20190121T091500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T091500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190121T121500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T121500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190121T151500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T151500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190121T181500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T181500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190121T211500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T211500.mp4,450,0,clear,train,2019_2020
CAMHDA301-20190121T211500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T211500.mp4,660,0,clear,train,2019_2020
CAMHDA301-20190121T211500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T211500.mp4,420,0,clear,train,2019_2020
CAMHDA301-20190121T211500,2019-01-21,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/21/CAMHDA301-20190121T211500.mp4,840,0,clear,train,2019_2020
CAMHDA301-20190128T001500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T001500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190128T031500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T031500.mp4,420,1,clear,train,2019_2020
CAMHDA301-20190128T061500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T061500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190128T091500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T091500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190128T121500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T121500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190128T151500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T151500.mp4,690,0,clear,train,2019_2020
CAMHDA301-20190128T151500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T151500.mp4,60,0,clear,train,2019_2020
CAMHDA301-20190128T151500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T151500.mp4,510,0,clear,train,2019_2020
CAMHDA301-20190128T151500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T151500.mp4,600,0,clear,train,2019_2020
CAMHDA301-20190128T181500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T181500.mp4,210,0,clear,train,2019_2020
CAMHDA301-20190128T181500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T181500.mp4,150,0,clear,train,2019_2020
CAMHDA301-20190128T181500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T181500.mp4,840,0,clear,train,2019_2020
CAMHDA301-20190128T181500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T181500.mp4,540,0,clear,train,2019_2020
CAMHDA301-20190128T211500,2019-01-28,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/01/28/CAMHDA301-20190128T211500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190204T001500,2019-02-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/04/CAMHDA301-20190204T001500.mp4,450,1,clear,val,2019_2020
CAMHDA301-20190204T031500,2019-02-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/04/CAMHDA301-20190204T031500.mp4,450,1,clear,val,2019_2020
CAMHDA301-20190204T061500,2019-02-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/04/CAMHDA301-20190204T061500.mp4,450,1,clear,val,2019_2020
CAMHDA301-20190204T091500,2019-02-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/04/CAMHDA301-20190204T091500.mp4,450,1,clear,val,2019_2020
CAMHDA301-20190204T121500,2019-02-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/04/CAMHDA301-20190204T121500.mp4,450,1,clear,val,2019_2020
CAMHDA301-20190204T151500,2019-02-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/04/CAMHDA301-20190204T151500.mp4,450,1,clear,val,2019_2020
CAMHDA301-20190204T181500,2019-02-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/04/CAMHDA301-20190204T181500.mp4,450,1,clear,val,2019_2020
CAMHDA301-20190204T211500,2019-02-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/04/CAMHDA301-20190204T211500.mp4,450,1,clear,val,2019_2020
CAMHDA301-20190211T001500,2019-02-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/11/CAMHDA301-20190211T001500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190211T031500,2019-02-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/11/CAMHDA301-20190211T031500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190211T061500,2019-02-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/11/CAMHDA301-20190211T061500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190211T091500,2019-02-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/11/CAMHDA301-20190211T091500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190211T121500,2019-02-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/11/CAMHDA301-20190211T121500.mp4,510,0,clear,train,2019_2020
CAMHDA301-20190211T121500,2019-02-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/11/CAMHDA301-20190211T121500.mp4,120,0,clear,train,2019_2020
CAMHDA301-20190211T121500,2019-02-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/11/CAMHDA301-20190211T121500.mp4,540,0,clear,train,2019_2020
CAMHDA301-20190211T121500,2019-02-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/11/CAMHDA301-20190211T121500.mp4,660,0,clear,train,2019_2020
CAMHDA301-20190211T151500,2019-02-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/11/CAMHDA301-20190211T151500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190211T181500,2019-02-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/11/CAMHDA301-20190211T181500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190211T211500,2019-02-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/11/CAMHDA301-20190211T211500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190218T001500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T001500.mp4,450,1,clear,val,2019_2020
CAMHDA301-20190218T031500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T031500.mp4,450,1,clear,val,2019_2020
CAMHDA301-20190218T061500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T061500.mp4,450,1,clear,val,2019_2020
CAMHDA301-20190218T091500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T091500.mp4,840,0,clear,val,2019_2020
CAMHDA301-20190218T091500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T091500.mp4,210,0,clear,val,2019_2020
CAMHDA301-20190218T091500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T091500.mp4,390,0,clear,val,2019_2020
CAMHDA301-20190218T091500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T091500.mp4,180,0,clear,val,2019_2020
CAMHDA301-20190218T121500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T121500.mp4,450,1,clear,val,2019_2020
CAMHDA301-20190218T151500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T151500.mp4,300,0,clear,val,2019_2020
CAMHDA301-20190218T151500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T151500.mp4,270,0,clear,val,2019_2020
CAMHDA301-20190218T151500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T151500.mp4,120,0,clear,val,2019_2020
CAMHDA301-20190218T151500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T151500.mp4,390,0,clear,val,2019_2020
CAMHDA301-20190218T181500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T181500.mp4,630,0,clear,val,2019_2020
CAMHDA301-20190218T181500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T181500.mp4,360,0,clear,val,2019_2020
CAMHDA301-20190218T181500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T181500.mp4,810,0,clear,val,2019_2020
CAMHDA301-20190218T181500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T181500.mp4,90,0,clear,val,2019_2020
CAMHDA301-20190218T211500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T211500.mp4,120,0,clear,val,2019_2020
CAMHDA301-20190218T211500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T211500.mp4,420,0,clear,val,2019_2020
CAMHDA301-20190218T211500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T211500.mp4,300,0,clear,val,2019_2020
CAMHDA301-20190218T211500,2019-02-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/18/CAMHDA301-20190218T211500.mp4,480,0,clear,val,2019_2020
CAMHDA301-20190225T001500,2019-02-25,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/25/CAMHDA301-20190225T001500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190225T031500,2019-02-25,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/25/CAMHDA301-20190225T031500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190225T061500,2019-02-25,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/25/CAMHDA301-20190225T061500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190225T091500,2019-02-25,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/25/CAMHDA301-20190225T091500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190225T121500,2019-02-25,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/25/CAMHDA301-20190225T121500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190225T151500,2019-02-25,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/25/CAMHDA301-20190225T151500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190225T181500,2019-02-25,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/25/CAMHDA301-20190225T181500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190225T211500,2019-02-25,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/02/25/CAMHDA301-20190225T211500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190304T001500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T001500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190304T031500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T031500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190304T061500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T061500.mp4,210,0,clear,train,2019_2020
CAMHDA301-20190304T061500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T061500.mp4,240,0,clear,train,2019_2020
CAMHDA301-20190304T061500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T061500.mp4,90,0,clear,train,2019_2020
CAMHDA301-20190304T061500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T061500.mp4,750,0,clear,train,2019_2020
CAMHDA301-20190304T091500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T091500.mp4,330,0,clear,train,2019_2020
CAMHDA301-20190304T091500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T091500.mp4,270,0,clear,train,2019_2020
CAMHDA301-20190304T091500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T091500.mp4,630,0,clear,train,2019_2020
CAMHDA301-20190304T091500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T091500.mp4,750,0,clear,train,2019_2020
CAMHDA301-20190304T121500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T121500.mp4,420,1,clear,train,2019_2020
CAMHDA301-20190304T151500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T151500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190304T181500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T181500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190304T211500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T211500.mp4,30,0,clear,train,2019_2020
CAMHDA301-20190304T211500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T211500.mp4,180,0,clear,train,2019_2020
CAMHDA301-20190304T211500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T211500.mp4,150,0,clear,train,2019_2020
CAMHDA301-20190304T211500,2019-03-04,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/04/CAMHDA301-20190304T211500.mp4,690,0,clear,train,2019_2020
CAMHDA301-20190311T001500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T001500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190311T031500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T031500.mp4,600,0,clear,train,2019_2020
CAMHDA301-20190311T031500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T031500.mp4,750,0,clear,train,2019_2020
CAMHDA301-20190311T031500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T031500.mp4,540,0,clear,train,2019_2020
CAMHDA301-20190311T031500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T031500.mp4,840,0,clear,train,2019_2020
CAMHDA301-20190311T061500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T061500.mp4,420,1,clear,train,2019_2020
CAMHDA301-20190311T091500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T091500.mp4,30,0,clear,train,2019_2020
CAMHDA301-20190311T091500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T091500.mp4,180,0,clear,train,2019_2020
CAMHDA301-20190311T091500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T091500.mp4,840,0,clear,train,2019_2020
CAMHDA301-20190311T091500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T091500.mp4,150,0,clear,train,2019_2020
CAMHDA301-20190311T121500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T121500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190311T151500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T151500.mp4,60,0,clear,train,2019_2020
CAMHDA301-20190311T151500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T151500.mp4,630,0,clear,train,2019_2020
CAMHDA301-20190311T151500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T151500.mp4,780,0,clear,train,2019_2020
CAMHDA301-20190311T151500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T151500.mp4,150,0,clear,train,2019_2020
CAMHDA301-20190311T181500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T181500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190311T211500,2019-03-11,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/11/CAMHDA301-20190311T211500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190318T001500,2019-03-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/18/CAMHDA301-20190318T001500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190318T031500,2019-03-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/18/CAMHDA301-20190318T031500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190318T061500,2019-03-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/18/CAMHDA301-20190318T061500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190318T091500,2019-03-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/18/CAMHDA301-20190318T091500.mp4,450,1,clear,train,2019_2020
CAMHDA301-20190318T121500,2019-03-18,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2019/03/18/CAMHDA301-20190318T121500.mp4,450,1,clear,train,2019_2020
