frame_id,datetime_utc,camera_unit,sharpness_survey,scene1_time_s,frame_ready,notes,video_path
CAMHDA301-20211115T001500,2021-11-15T00:15:00,CAMHDA301-2021,236.2,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/11/15/CAMHDA301-20211115T001500.mp4
CAMHDA301-20211121T211500,2021-11-21T21:15:00,CAMHDA301-2021,353.5,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/11/21/CAMHDA301-20211121T211500.mp4
CAMHDA301-20211201T193000,2021-12-01T19:30:00,CAMHDA301-2021,19.8,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/12/01/CAMHDA301-20211201T193000.mp4
CAMHDA301-20211208T121500,2021-12-08T12:15:00,CAMHDA301-2021,307.3,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/12/08/CAMHDA301-20211208T121500.mp4
CAMHDA301-20211213T211500,2021-12-13T21:15:00,CAMHDA301-2021,202.0,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/12/13/CAMHDA301-20211213T211500.mp4
CAMHDA301-20211220T051500,2021-12-20T05:15:00,CAMHDA301-2021,202.5,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2021/12/20/CAMHDA301-20211220T051500.mp4
CAMHDA301-20220101T151500,2022-01-01T15:15:00,CAMHDA301-2021,102.2,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/01/01/CAMHDA301-20220101T151500.mp4
CAMHDA301-20220103T203000,2022-01-03T20:30:00,CAMHDA301-2021,679.9,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/01/03/CAMHDA301-20220103T203000.mp4
CAMHDA301-20220111T181500,2022-01-11T18:15:00,CAMHDA301-2021,427.4,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/01/11/CAMHDA301-20220111T181500.mp4
CAMHDA301-20220121T061500,2022-01-21T06:15:00,CAMHDA301-2021,325.7,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/01/21/CAMHDA301-20220121T061500.mp4
CAMHDA301-20220201T213000,2022-02-01T21:30:00,CAMHDA301-2021,12.9,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/02/01/CAMHDA301-20220201T213000.mp4
CAMHDA301-20220209T121500,2022-02-09T12:15:00,CAMHDA301-2021,424.1,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/02/09/CAMHDA301-20220209T121500.mp4
CAMHDA301-20220214T001500,2022-02-14T00:15:00,CAMHDA301-2021,421.5,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/02/14/CAMHDA301-20220214T001500.mp4
CAMHDA301-20220220T234500,2022-02-20T23:45:00,CAMHDA301-2021,621.0,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/02/20/CAMHDA301-20220220T234500.mp4
CAMHDA301-20220307T001500,2022-03-07T00:15:00,CAMHDA301-2021,382.7,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/03/07/CAMHDA301-20220307T001500.mp4
CAMHDA301-20220311T061500,2022-03-11T06:15:00,CAMHDA301-2021,329.1,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/03/11/CAMHDA301-20220311T061500.mp4
CAMHDA301-20220320T083000,2022-03-20T08:30:00,CAMHDA301-2021,38.7,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/03/20/CAMHDA301-20220320T083000.mp4
CAMHDA301-20220322T211500,2022-03-22T21:15:00,CAMHDA301-2021,425.3,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/03/22/CAMHDA301-20220322T211500.mp4
CAMHDA301-20220401T151500,2022-04-01T15:15:00,CAMHDA301-2021,95.7,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/04/01/CAMHDA301-20220401T151500.mp4
CAMHDA301-20220408T211500,2022-04-08T21:15:00,CAMHDA301-2021,190.5,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/04/08/CAMHDA301-20220408T211500.mp4
CAMHDA301-20220412T211500,2022-04-12T21:15:00,CAMHDA301-2021,239.3,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/04/12/CAMHDA301-20220412T211500.mp4
CAMHDA301-20220420T061500,2022-04-20T06:15:00,CAMHDA301-2021,23.1,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/04/20/CAMHDA301-20220420T061500.mp4
CAMHDA301-20220501T084500,2022-05-01T08:45:00,CAMHDA301-2021,794.4,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/05/01/CAMHDA301-20220501T084500.mp4
CAMHDA301-20220503T171500,2022-05-03T17:15:00,CAMHDA301-2021,440.7,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/05/03/CAMHDA301-20220503T171500.mp4
CAMHDA301-20220513T061500,2022-05-13T06:15:00,CAMHDA301-2021,425.0,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/05/13/CAMHDA301-20220513T061500.mp4
CAMHDA301-20220522T211500,2022-05-22T21:15:00,CAMHDA301-2021,471.0,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/05/22/CAMHDA301-20220522T211500.mp4
CAMHDA301-20220601T193000,2022-06-01T19:30:00,CAMHDA301-2021,264.2,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/06/01/CAMHDA301-20220601T193000.mp4
CAMHDA301-20220608T121500,2022-06-08T12:15:00,CAMHDA301-2021,455.2,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/06/08/CAMHDA301-20220608T121500.mp4
CAMHDA301-20220613T001500,2022-06-13T00:15:00,CAMHDA301-2021,426.7,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/06/13/CAMHDA301-20220613T001500.mp4
CAMHDA301-20220620T051500,2022-06-20T05:15:00,CAMHDA301-2021,161.5,,pending-contact-sheet,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/06/20/CAMHDA301-20220620T051500.mp4
